county,color,id
"Warren, GA",#2FC169,c13301
"McDuffie, GA",#2FC169,c13189
"Glascock, GA",#0CA44D,c13125
"Jefferson, GA",#2FC169,c13163
"Washington, GA",#2FC169,c13303
"Johnson, GA",#2FC169,c13167
"Treutlen, GA",#0CA44D,c13283
"Montgomery, GA",#2FC169,c13209
"Toombs, GA",#0CA44D,c13279
"Liberty, GA",#2FC169,c13179
"Evans, GA",#2FC169,c13109
"Tattnall, GA",#FFFFFF,c13267
"Candler, GA",#0CA44D,c13043
"Emanuel, GA",#2FC169,c13107
"Chatham, GA",#0CA44D,c13051
"Bryan, GA",#2FC169,c13029
"Bulloch, GA",#2FC169,c13031
"Jenkins, GA",#2FC169,c13165
"Effingham, GA",#2FC169,c13103
"Screven, GA",#2FC169,c13251
"Burke, GA",#2FC169,c13033
"Richmond, GA",#2FC169,c13245
"Columbia, GA",#54CC84,c13073
"Lincoln, GA",#2FC169,c13181
"Elbert, GA",#2FC169,c13105
"Madison, GA",#2FC169,c13195
"Banks, GA",#2FC169,c13011
"Hall, GA",#2FC169,c13139
"Lumpkin, GA",#2FC169,c13187
"Gilmer, GA",#0CA44D,c13123
"Fannin, GA",#2FC169,c13111
"Union, GA",#137046,c13291
"White, GA",#2FC169,c13311
"Habersham, GA",#2FC169,c13137
"Hart, GA",#2FC169,c13147
"Franklin, GA",#2FC169,c13119
"Stephens, GA",#FFFFFF,c13257
"Hawaii, HI",#2FC169,c15001
"Honolulu, HI",#54CC84,c15003
"Kalawao, HI",#2FC169,c15005
"Kauai, HI",#2FC169,c15007
"Maui, HI",#2FC169,c15009
"Fremont, ID",#2FC169,c16043
"Clark, ID",#0CA44D,c16033
"Benewah, ID",#2FC169,c16009
"Kootenai, ID",#2FC169,c16055
"Bonner, ID",#2FC169,c16017
"Boundary, ID",#2FC169,c16021
"Latah, ID",#2FC169,c16057
"Nez Perce, ID",#78D79E,c16069
"Lewis, ID",#2FC169,c16061
"Adams, ID",#FFFFFF,c16003
"Washington, ID",#2FC169,c16087
"Payette, ID",#2FC169,c16075
"Boise, ID",#2FC169,c16015
"Gem, ID",#0CA44D,c16045
"Canyon, ID",#0CA44D,c16027
"Ada, ID",#FFFFFF,c16001
"Elmore, ID",#2FC169,c16039
"Owyhee, ID",#2FC169,c16073
"Camas, ID",#0CA44D,c16025
"Gooding, ID",#0CA44D,c16047
"Jerome, ID",#2FC169,c16053
"Twin Falls, ID",#0CA44D,c16083
"Cassia, ID",#0CA44D,c16031
"Oneida, ID",#2FC169,c16071
"Power, ID",#2FC169,c16077
"Bannock, ID",#2FC169,c16005
"Franklin, ID",#2FC169,c16041
"Bear Lake, ID",#2FC169,c16007
"Caribou, ID",#0CA44D,c16029
"Minidoka, ID",#2FC169,c16067
"Lincoln, ID",#2FC169,c16063
"Bonneville, ID",#2FC169,c16019
"Bingham, ID",#2FC169,c16011
"Blaine, ID",#2FC169,c16013
"Valley, ID",#0F934A,c16085
"Shoshone, ID",#2FC169,c16079
"Clearwater, ID",#0CA44D,c16035
"Idaho, ID",#2FC169,c16049
"Custer, ID",#2FC169,c16037
"Lemhi, ID",#2FC169,c16059
"Butte, ID",#2FC169,c16023
"Jefferson, ID",#2FC169,c16051
"Madison, ID",#2FC169,c16065
"Teton, ID",#FFFFFF,c16081
"Vermilion, IL",#0F934A,c17183
"Iroquois, IL",#2FC169,c17075
"Alexander, IL",#0F934A,c17003
"Pulaski, IL",#0F934A,c17153
"Massac, IL",#2FC169,c17127
"Hardin, IL",#2FC169,c17069
"Pope, IL",#2FC169,c17151
"Johnson, IL",#2FC169,c17087
"Union, IL",#137046,c17181
"Gallatin, IL",#0CA44D,c17059
"Saline, IL",#2FC169,c17165
"Williamson, IL",#54CC84,c17199
"Jackson, IL",#2FC169,c17077
"Monroe, IL",#2FC169,c17133
"Randolph, IL",#0F934A,c17157
"Perry, IL",#2FC169,c17145
"Franklin, IL",#2FC169,c17055
"Hamilton, IL",#2FC169,c17065
"White, IL",#2FC169,c17193
"Jefferson, IL",#2FC169,c17081
"Washington, IL",#2FC169,c17189
"Clinton, IL",#0CA44D,c17027
"St. Clair, IL",#2FC169,c17163
"Madison, IL",#2FC169,c17119
"Bond, IL",#2FC169,c17005
"Marion, IL",#2FC169,c17121
"Wayne, IL",#2FC169,c17191
"Wabash, IL",#2FC169,c17185
"Edwards, IL",#2FC169,c17047
"Lawrence, IL",#2FC169,c17101
"Richland, IL",#2FC169,c17159
"Clay, IL",#0CA44D,c17025
"Jasper, IL",#2FC169,c17079
"Crawford, IL",#54CC84,c17033
"Clark, IL",#0CA44D,c17023
"Cumberland, IL",#2FC169,c17035
"Effingham, IL",#2FC169,c17049
"Fayette, IL",#2FC169,c17051
"Shelby, IL",#2FC169,c17173
"Montgomery, IL",#2FC169,c17135
"Jersey, IL",#2FC169,c17083
"Macoupin, IL",#2FC169,c17117
"Calhoun, IL",#0CA44D,c17013
"Greene, IL",#0CA44D,c17061
"Christian, IL",#0CA44D,c17021
