county,color
"Hancock, GA",#2FC169
"Taliaferro, GA",#FFFFFF
"Greene, GA",#0CA44D
"Oglethorpe, GA",#0CA44D
"Wilkes, GA",#54CC84
"Warren, GA",#2FC169
"McDuffie, GA",#2FC169
"Glascock, GA",#0CA44D
"Jefferson, GA",#2FC169
"Washington, GA",#2FC169
"Johnson, GA",#2FC169
"Treutlen, GA",#0CA44D
"Montgomery, GA",#2FC169
"Toombs, GA",#0CA44D
"Liberty, GA",#2FC169
"Evans, GA",#2FC169
"Tattnall, GA",#FFFFFF
"Candler, GA",#0CA44D
"Emanuel, GA",#2FC169
"Chatham, GA",#0CA44D
"Bryan, GA",#2FC169
"Bulloch, GA",#2FC169
"Jenkins, GA",#2FC169
"Effingham, GA",#2FC169
"Screven, GA",#2FC169
"Burke, GA",#2FC169
"Richmond, GA",#2FC169
"Columbia, GA",#54CC84
"Lincoln, GA",#2FC169
"Elbert, GA",#2FC169
"Madison, GA",#2FC169
"Banks, GA",#2FC169
"Hall, GA",#2FC169
"Lumpkin, GA",#2FC169
"Gilmer, GA",#0CA44D
"Fannin, GA",#2FC169
"Union, GA",#137046
"White, GA",#2FC169
"Habersham, GA",#2FC169
"Hart, GA",#2FC169
"Franklin, GA",#2FC169
"Stephens, GA",#FFFFFF
"Hawaii, HI",#2FC169
"Honolulu, HI",#54CC84
"Kalawao, HI",#2FC169
"Kauai, HI",#2FC169
"Maui, HI",#2FC169
"Fremont, ID",#2FC169
"Clark, ID",#0CA44D
"Benewah, ID",#2FC169
"Kootenai, ID",#2FC169
"Bonner, ID",#2FC169
"Boundary, ID",#2FC169
"Latah, ID",#2FC169
"Nez Perce, ID",#78D79E
"Lewis, ID",#2FC169
"Adams, ID",#FFFFFF
"Washington, ID",#2FC169
"Payette, ID",#2FC169
"Boise, ID",#2FC169
"Gem, ID",#0CA44D
"Canyon, ID",#0CA44D
"Ada, ID",#FFFFFF
"Elmore, ID",#2FC169
"Owyhee, ID",#2FC169
"Camas, ID",#0CA44D
"Gooding, ID",#0CA44D
"Jerome, ID",#2FC169
"Twin Falls, ID",#0CA44D
"Cassia, ID",#0CA44D
"Oneida, ID",#2FC169
"Power, ID",#2FC169
"Bannock, ID",#2FC169
"Franklin, ID",#2FC169
"Bear Lake, ID",#2FC169
"Caribou, ID",#0CA44D
"Minidoka, ID",#2FC169
"Lincoln, ID",#2FC169
"Bonneville, ID",#2FC169
"Bingham, ID",#2FC169
"Blaine, ID",#2FC169
"Valley, ID",#0F934A
"Shoshone, ID",#2FC169
"Clearwater, ID",#0CA44D
"Idaho, ID",#2FC169
"Custer, ID",#2FC169
"Lemhi, ID",#2FC169
"Butte, ID",#2FC169
"Jefferson, ID",#2FC169
